activity,adjacent,afternoon,angle,april,area,areas,aspects,avalanche,avalanches,avoid,aware,awareness,backcountry,break,bury,cause,caused,changing,choose,clear,closely,combination,coming,complex,complicated,conditions,consequences,considerable,continue,continued,continues,convective,create,creating,crest,current,cycle,danger,dangerous,day,december,deep,degrees,destructive,detailed,developing,difficult,distances,drifted,drifting,early,effect,elevations,error,especially,exist,existing,exists,expected,exposed,exposure,february,follow,following,force,forecast,forest,form,formation,formed,friday,gale,hazard,heavy,heels,high,hold,holding,hours,human,impact,impacting,impacts,include,includes,increase,increased,increasingly,instability,intense,intensifies,intensity,isolated,january,large,layer,layers,levels,lighting,likely,loading,localized,location,long,loose,lower,maintain,major,majority,make,march,margin,mature,mix,moderate,morning,moves,natural,navigation,ne,near,new,newly,night,note,nw,occur,occurred,older,ongoing,overnight,pacific,paths,people,period,periods,persistent,plan,pm,poor,possibility,possible,possibly,potential,powerful,problem,problematic,problems,progresses,protected,rain,rapid,rapidly,rates,recognition,recommended,region,relative,remain,remains,resulted,rise,rising,roof,roofs,ruled,run,runout,se,sheltered,showers,sierra,slab,slabs,slope,slopes,snow,snowfall,snowpack,softer,sooner,steep,steeper,storm,stressing,strikes,strong,sunday,surprise,temperatures,terrain,thursday,time,today,tomorrow,tonight,travel,travelers,treeline,trees,triggered,unload,unloaded,unstable,update,updated,upper,valid,variety,visibility,warming,warning,wave,weak,wednesday,wet,wide,widespread,wind,winds,winter,yesterday,zones
0.0,0.22548149989611788,0.0,0.0,0.0,0.0,0.0,0.0,0.17266056284219594,0.0,0.2021455553031754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12235943375120113,0.0,0.0,0.0,0.0,0.0,0.0,0.16225249452718826,0.0,0.0,0.0,0.0,0.059130428382271526,0.10951673669636185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22548149989611788,0.0,0.0,0.09902348915825863,0.0,0.0,0.0,0.22548149989611788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16225249452718826,0.0,0.0,0.0,0.0,0.0,0.0,0.16225249452718826,0.0,0.0,0.0,0.059130428382271526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16225249452718826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13285268128930436,0.0,0.0,0.22548149989611788,0.0,0.0,0.0,0.2021455553031754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18558843912013076,0.0,0.0,0.0,0.0,0.13891654993424576,0.0,0.22548149989611788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4042911106063508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24471886750240227,0.0,0.2021455553031754,0.0,0.0,0.0,0.0,0.0,0.22548149989611788,0.0,0.0,0.0,0.0,0.0,0.06590925679216939,0.0,0.0,0.16023384691695586,0.0,0.0,0.06590925679216939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021455553031754,0.0,0.0,0.0,0.0,0.0,0.15338058014669442,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20159414604940243,0.0,0.0,0.0,0.17218958225610267,0.0,0.0,0.0,0.0,0.12202566374099418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12202566374099418,0.0,0.10921799877968184,0.0,0.0,0.0,0.0,0.1618099048951983,0.0,0.0,0.0,0.0,0.058969133391933284,0.10921799877968184,0.20159414604940243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1850821940900551,0.0,0.0,0.0,0.0,0.0,0.0,0.11743149027534298,0.0,0.0,0.0,0.2248664352442592,0.0,0.0,0.0,0.0,0.1618099048951983,0.0,0.0,0.0,0.0,0.0,0.0,0.1618099048951983,0.0,0.17227452912874278,0.0,0.058969133391933284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1618099048951983,0.0,0.0,0.0,0.0,0.20159414604940243,0.0,0.0,0.0,0.10551371178164684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08224142258679007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675517356607636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248664352442592,0.0,0.0,0.0,0.23486298055068597,0.0,0.11743149027534298,0.36607699122298254,0.0,0.0,0.2248664352442592,0.0,0.20159414604940243,0.0,0.15979676371804438,0.0,0.0,0.0,0.0,0.0,0.0,0.13145894125488544,0.0,0.0,0.15979676371804438,0.0,0.0,0.06572947062744272,0.0,0.21102742356329368,0.0,0.0,0.0,0.0,0.20159414604940243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07989838185902219,0.1529621911738817,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21831993988911452,0.0,0.0,0.0,0.0,0.23207532555517563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23207532555517563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11215084114344354,0.20771698220039472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18781476654052176,0.0,0.0,0.0,0.0,0.22333786599125144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11215084114344354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427663735363986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27633588456982955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12847372072947147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22333786599125144,0.0,0.0,0.0,0.0,0.0,0.38340317634933213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12500803377567307,0.0,0.38340317634933213,0.0,0.0,0.0,0.12500803377567307,0.0,0.2006719591727513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.18638951905600157,0.0,0.1469278588775031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19187655507936363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10412342760030714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05031784383013424,0.09319475952800078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15792901137048004,0.0,0.0,0.0,0.08426538753901783,0.0,0.0,0.0,0.0,0.0,0.10838489270666367,0.0,0.0,0.0,0.0,0.0,0.0,0.13807097130919074,0.0,0.19187655507936363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05031784383013424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13807097130919074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1130527995892901,0.0,0.19187655507936363,0.0,0.0,0.0,0.0,0.17201851501807436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14035176778284708,0.3158580227409601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19187655507936363,0.0,0.0,0.0,0.0,0.3440370300361487,0.0,0.0,0.0,0.057641302998998944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002032597145636,0.0,0.0,0.31237028280092144,0.0,0.17201851501807436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05608638024382925,0.0,0.0,0.13635317561620028,0.0,0.0,0.05608638024382925,0.0,0.3601356958108514,0.0,0.0,0.0,0.0,0.17201851501807436,0.0,0.0,0.19187655507936363,0.0,0.0,0.0,0.0,0.0,0.0,0.17201851501807436,0.0,0.0,0.0,0.0,0.13635317561620028,0.0,0.0,0.0,0.0
0.0,0.0,0.14837817836814568,0.0,0.0,0.0,0.08755876157410603,0.0,0.18405643449202597,0.06993571447702368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08755876157410603,0.0,0.0,0.0,0.0,0.0,0.36054545605232335,0.0,0.0,0.0,0.09454969599491468,0.08755876157410603,0.16161561249883352,0.16161561249883352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14837817836814568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036605282700794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09454969599491468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12972106284081752,0.0,0.18027272802616168,0.0,0.0,0.0,0.14837817836814568,0.0,0.0,0.08458907905211363,0.0,0.0,0.0,0.18027272802616168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13186392704957098,0.14837817836814568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12262795671493577,0.0,0.14837817836814568,0.0,0.0,0.0,0.0,0.18027272802616168,0.0,0.0,0.0,0.0,0.0,0.0,0.05415541744698378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18828683867486368,0.0,0.0,0.195653026365603,0.1381104267594502,0.0,0.0,0.0,0.0,0.0,0.0640535758347227,0.0,0.18027272802616168,0.0,0.0,0.0,0.0,0.10538905878819523,0.0,0.0,0.0640535758347227,0.0,0.0,0.10538905878819523,0.0,0.5075344743126817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281071516694454,0.0,0.0,0.0,0.0
0.16147862948114192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3029608988149475,0.0,0.0,0.0,0.0,0.12881965661712463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17081895518382217,0.0,0.0,0.0,0.11529890244294216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12450468666463446,0.11529890244294216,0.0,0.21281825375051974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06225234333231723,0.2373862684686296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21281825375051974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11138837276853697,0.0,0.0,0.0,0.0,0.1818662157277496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17081895518382217,0.0,0.0,0.0,0.0,0.0,0.0,0.1736407161008542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12881965661712463,0.0,0.0,0.17081895518382217,0.0,0.0,0.0,0.0,0.0713127970373574,0.0,0.0,0.0,0.0,0.2373862684686296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23059780488588433,0.0,0.0,0.0,0.12881965661712463,0.0,0.0,0.0,0.0,0.0,0.0,0.08434686442017203,0.0,0.0,0.2373862684686296,0.0,0.0,0.2373862684686296,0.20816722260551826,0.0,0.0,0.16869372884034406,0.0,0.0,0.06938907420183942,0.0,0.22277674553707394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2373862684686296,0.0,0.0,0.0,0.0,0.16147862948114192,0.0,0.0,0.08434686442017203,0.16147862948114192,0.0,0.0,0.0
0.1518058796766813,0.0,0.0,0.0,0.0,0.0,0.10839236973553064,0.0,0.3417758441474424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10839236973553064,0.0,0.0,0.34194445358782694,0.0,0.0,0.0,0.0,0.0,0.0,0.11704671722645306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1260596134751197,0.0,0.0,0.10471608514522715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05852335861322653,0.0,0.0,0.0,0.1123223858842988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18368307272999215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10839236973553064,0.0,0.0,0.1632394437584537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44633313304474925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670410810473527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21678473947106128,0.1165437716744477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07929439327306977,0.0,0.0,0.0,0.0,0.0,0.0,0.06523259135284465,0.0,0.0,0.0,0.0,0.0,0.06523259135284465,0.0,0.5235804257261358,0.0,0.1123223858842988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15858878654613953,0.0,0.0,0.0,0.0
0.22094947983380567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3316305233366488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15776225375477237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17035842974277027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911969380493634,0.0,0.0,0.0,0.0,0.0,0.0,0.15241151786971585,0.0,0.0,0.2337297474897591,0.0,0.0,0.0,0.0,0.0,0.0,0.2337297474897591,0.0,0.0,0.0,0.17035842974277027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26734589898892447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15241151786971585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11879536637055049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911969380493634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757653666944195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24884559581354207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28483298193033457,0.0,0.0,0.0,0.0,0.20987870842932016,0.09494432731011153,0.0,0.3048230357394317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22094947983380567,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24988320102761338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08557658146753747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14331186022139886,0.0,0.0,0.17041772392363042,0.0,0.0,0.0,0.0,0.0,0.1531225275469211,0.0,0.0,0.0,0.2348201120149521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08557658146753747,0.0,0.0,0.0,0.0,0.29255539076881354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32632836380850533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11934955450722927,0.0,0.0,0.25000647675762255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32632836380850533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17708483326109067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09803173758082878,0.25000647675762255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3169964499281385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23189862190575652,0.0,0.0,0.0,0.0,0.0,0.0,0.09538724879305967,0.29255539076881354,0.0,0.0,0.0,0.21085780630078252,0.09538724879305967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11594931095287826,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29858340966486996,0.0,0.0,0.0,0.26217904724797175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2407047737249445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22404803312591337,0.0,0.0,0.0,0.0,0.0,0.0,0.07669107219981923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12843163434261415,0.26217904724797175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13722364943935464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07669107219981923,0.0,0.0,0.2924453358677394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26217904724797175,0.0,0.0,0.0,0.26217904724797175,0.0,0.0,0.0,0.0,0.26217904724797175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878529959453569,0.0,0.26217904724797175,0.22404803312591337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22404803312591337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709661745931194,0.0,0.0,0.0,0.0,0.0,0.0854830872965597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26217904724797175,0.0,0.0,0.0,0.0,0.0,0.2104384851051768
